"Last Updated on","Created on","Korporat Code","Internal Reference","Name","Internal Name","Material Type","Unit of Measure/Display Name","PO Conversion Coeff","Brand/Display Name","Source","NFG Type/Display Name","Type of RM/PM","Customized UOM PO/Display Name"
"2022-06-17 06:28:55","2022-06-17 06:28:36","CAPA-CFLIS06R0-W","CAPA-CFLIS06R0-W","Cap+Applicator+Wiper Colorfit Fresh Lip Ink Serum 06 Wardah,ABS+PP,Injection Color,Spray matte Clear, Wiper:PE,Natural","Cap+Applicator+Wiper Colorfit Fresh Lip Ink Serum 06 W","Packaging Material","Pc(s)","0.0","Wardah","","CAP","Irregular","Pc(s)"
"2022-06-17 06:30:58","2022-06-17 06:30:43","CAPA-CFLIS07R0-W","CAPA-CFLIS07R0-W","Cap+Applicator+Wiper Colorfit Fresh Lip Ink Serum 07 Wardah,ABS+PP,Injection Color,Spray matte Clear, Wiper:PE,Natural","Cap+Applicator+Wiper Colorfit Fresh Lip Ink Serum 07 W","Packaging Material","Pc(s)","0.0","Wardah","","CAP","Irregular","Pc(s)"
"2022-06-17 06:31:42","2022-06-17 06:31:25","CAPA-CFLIS08R0-W","CAPA-CFLIS08R0-W","Cap+Applicator+Wiper Colorfit Fresh Lip Ink Serum 08 Wardah,ABS+PP,Injection Color,Spray matte Clear, Wiper:PE,Natural","Cap+Applicator+Wiper Colorfit Fresh Lip Ink Serum 08 W","Packaging Material","Pc(s)","0.0","Wardah","","CAP","Irregular","Pc(s)"
"2022-06-14 06:37:28","2021-04-21 07:05:10","ALKO---L","SLV1-AAB","Denaturated Ethanol ex. Indo Acidatama Indonesia","Alkohol","Raw Material","g","800.0","","Local","BAHAN BAKU UMUM","Regular","Liter(s)"
"2022-06-05 16:34:30","2021-04-21 07:15:04","SOLV-DEASB-X","SLV1-ABA","Denatured Ethyl Alcohol - SDA BIT 6 ex PT. Molindo Raya Industrial, Indonesia","Alkohol Denaturasi","Raw Material","kg","0.8","","Imported","BAHAN BAKU UMUM","Irregular","Liter(s)"
"2022-06-05 17:03:13","2021-08-13 01:33:34","DUS-CLBPER1-E","DUS-CLBPER1-E","Dus Cheek Lit Blush On Stick Peach REV-1 Emina, Ivory 300 gsm, 4W, 28x28x55 mm, LamDoff","Dus CLB Stick Peach R1 E","Packaging Material","Pc(s)","0.0","Emina","","DUS","Irregular","Pc(s)"
"2022-06-05 17:03:21","2021-08-13 01:32:12","DUS-CLBPIR1-E","DUS-CLBPIR1-E","Dus Cheek Lit Blush On Stick Pink REV-1 Emina, Ivory 300 gsm, 4W, 28x28x55 mm, LamDoff","Dus CLB Stick Pink R1 E","Packaging Material","Pc(s)","0.0","Emina","","DUS","Irregular","Pc(s)"
"2022-03-18 01:37:37","2021-10-07 08:35:33","DUS-ELCP02R1-W","DUS-ELCP02R1-W","Dus EveLum Compact Powder 02 REV-1 Wardah (Relaunch),Ivory 300gsm,5W,76x76x19mm,Lam Glossy","Dus EveLum Compact Powder 02 R1 (Relaunch) W","Packaging Material","Pc(s)","0.0","Wardah","","DUS","Irregular","Pc(s)"
"2022-03-18 01:37:38","2021-10-07 08:36:16","DUS-ELCP03R1-W","DUS-ELCP03R1-W","Dus EveLum Compact Powder 03 REV-1 Wardah (Relaunch),Ivory 300gsm,5W,76x76x19mm,Lam Glossy","Dus EveLum Compact Powder 03 R1 (Relaunch) W","Packaging Material","Pc(s)","0.0","Wardah","","DUS","Irregular","Pc(s)"
"2022-03-18 01:37:38","2021-10-07 08:37:03","DUS-ELCP04R1-W","DUS-ELCP04R1-W","Dus EveLum Compact Powder 04 REV-1 Wardah (Relaunch),Ivory 300gsm,5W,76x76x19mm,Lam Glossy","Dus EveLum Compact Powder 04 R1 (Relaunch) W","Packaging Material","Pc(s)","0.0","Wardah","","DUS","Irregular","Pc(s)"
"2022-06-05 17:35:12","2021-04-21 05:14:49","DUS-EMLC12R1-WILD","DUS-EMLC12R1-WILD","Dus Exclusive Matte Lip Cream 12 REV-1 Wardah,Ivory 250 gsm,2W,20x20x112mm,Lam Doff,HS Silver,J2","Dus Dus Exclusive Matte Lip Cream 12 R1 W Wardah","Packaging Material","Pc(s)","0.0","Wardah","Local","DUS","Irregular","Pc(s)"
"2022-06-05 17:43:31","2021-04-21 04:44:39","DUS-FCKR1-MO","DUS-FCKR1-MO","Dus Face Contour Kit REV-1 Make Over, Ivory 300gr,3W,79x79x28mm, Lam Glossy","Dus Face Contour Kit R1 MO","Packaging Material","Pc(s)","0.0","Make Over","Local","DUS","Irregular","Pc(s)"
"2022-06-05 17:43:37","2022-02-03 05:57:25","DUS-FCKR2-MO","DUS-FCKR2-MO","Dus Face Contour Kit REV-2 Make Over, Ivory 300gr,3W,79x79x28mm, Lam Glossy","Dus Face Contour Kit R2 MO","Packaging Material","Pc(s)","0.0","Make Over","","DUS","Irregular","Pc(s)"
"2022-05-24 08:38:48","2022-05-11 03:36:53","DUS-LL01R1-W","DUS-LL01R1-W","Dus Longlasting Lipstick 01 Fabulous Peach REV-1 Wardah.Ivory 250gsm.3W.20x16x90mm.HS.Lam Doff","Dus Longlasting Lipstick 01 R1 W","Packaging Material","Pc(s)","0.0","Wardah","","DUS","Irregular","Pc(s)"
"2022-05-24 08:41:06","2022-05-11 03:37:58","DUS-LL02R1-W","DUS-LL02R1-W","Dus Longlasting Lipstick 02 Pink Sorbet REV-1 Wardah.Ivory250gsm.3W.20x16x90mm.HS.Lam Doff","Dus Longlasting Lipstick 02 R1 W","Packaging Material","Pc(s)","0.0","Wardah","","DUS","Irregular","Pc(s)"
"2022-05-24 08:43:08","2022-05-11 03:39:52","DUS-LL03R1-W","DUS-LL03R1-W","Dus Longlasting Lipstick 03 Simply Brown REV-1 Wardah.Ivory250gsm.3W.20x16x90mm.HS.Lam Doff","Dus Longlasting Lipstick 03 R1 W","Packaging Material","Pc(s)","0.0","Wardah","","DUS","Irregular","Pc(s)"
"2022-05-24 08:46:00","2022-05-11 03:40:41","DUS-LL04R1-W","DUS-LL04R1-W","Dus Longlasting Lipstick 04 Antique Pink REV-1 Wardah.Ivory250gsm.3W.20x16x90mm.HS.Lam Doff","Dus Longlasting Lipstick 04 R1 W","Packaging Material","Pc(s)","0.0","Wardah","","DUS","Irregular","Pc(s)"
"2022-05-24 08:47:35","2022-05-11 03:41:28","DUS-LL05R1-W","DUS-LL05R1-W","Dus Longlasting Lipstick 05 Fuchsia Fever REV-1 Wardah.Ivory250gsm.3W.20x16x90mm.HS.Lam Doff","Dus Longlasting Lipstick 05 R1 W","Packaging Material","Pc(s)","0.0","Wardah","","DUS","Irregular","Pc(s)"
"2022-05-24 08:49:42","2022-05-11 03:42:13","DUS-LL06R1-W","DUS-LL06R1-W","Dus Longlasting Lipstick 06 Delicate Pink REV-1 Wardah.Ivory250gsm.3W.20x16x90mm.HS.Lam Doff","Dus Longlasting Lipstick 06 R1 W","Packaging Material","Pc(s)","0.0","Wardah","","DUS","Irregular","Pc(s)"
"2022-05-24 08:51:36","2022-05-11 03:43:09","DUS-LL07R1-W","DUS-LL07R1-W","Dus Longlasting Lipstick 07 Raspberry Hip REV-1 Wardah.Ivory250gsm.3W.20x16x90mm.HS.Lam Doff","Dus Longlasting Lipstick 07 R1 W","Packaging Material","Pc(s)","0.0","Wardah","","DUS","Irregular","Pc(s)"
"2022-05-24 08:53:39","2022-05-11 03:44:11","DUS-LL08R1-W","DUS-LL08R1-W","Dus Longlasting Lipstick 08 Red Velvet REV-1 Wardah.Ivory250gsm.3W.20x16x90mm.HS.Lam Doff","Dus Longlasting Lipstick 08 R1 W","Packaging Material","Pc(s)","0.0","Wardah","","DUS","Irregular","Pc(s)"
"2022-05-24 08:56:36","2022-05-11 03:45:01","DUS-LL09R1-W","DUS-LL09R1-W","Dus Longlasting Lipstick 09 Vibrant Red REV-1 Wardah.Ivory250gsm.3W.20x16x90mm.HS.Lam Doff","Dus Longlasting Lipstick 09 R1 W","Packaging Material","Pc(s)","0.0","Wardah","","DUS","Irregular","Pc(s)"
"2022-05-24 08:58:08","2022-05-11 03:45:53","DUS-LL10R1-W","DUS-LL10R1-W","Dus Longlasting Lipstick 10 Stylish Mocca REV-1 Wardah.Ivory250gsm.3W.20x16x90mm.HS.Lam Doff","Dus Longlasting Lipstick 10 R1 W","Packaging Material","Pc(s)","0.0","Wardah","","DUS","Irregular","Pc(s)"
"2022-05-24 09:00:05","2022-05-11 03:46:43","DUS-LL11R1-W","DUS-LL11R1-W","Dus Longlasting Lipstick 11 Cherrie Glam REV-1 Wardah.Ivory250gsm.3W.20x16x90mm.HS.Lam Doff","Dus Longlasting Lipstick 11 R1 W","Packaging Material","Pc(s)","0.0","Wardah","","DUS","Irregular","Pc(s)"
"2022-05-24 09:01:27","2022-05-11 03:47:32","DUS-LL12R1-W","DUS-LL12R1-W","Dus Longlasting Lipstick 12 Lustrous Red REV-1 Wardah.Ivory250gsm.3W.20x16x90mm.HS.Lam Doff","Dus Longlasting Lipstick 12 R1 W","Packaging Material","Pc(s)","0.0","Wardah","","DUS","Irregular","Pc(s)"
"2022-05-24 09:03:20","2022-05-11 03:48:23","DUS-LL13R1-W","DUS-LL13R1-W","Dus Longlasting Lipstick 13 Classic Brown REV-1 Wardah.Ivory250gsm.3W.20x16x90mm.HS.Lam Doff","Dus Longlasting Lipstick 13 R1 W","Packaging Material","Pc(s)","0.0","Wardah","","DUS","Irregular","Pc(s)"
"2022-05-24 09:04:58","2022-05-11 03:49:29","DUS-LL14R1-W","DUS-LL14R1-W","Dus Longlasting Lipstick 14 Violet Pink REV-1 Wardah.Ivory250gsm.3W.20x16x90mm.HS.Lam Doff","Dus Longlasting Lipstick 14 R1 W","Packaging Material","Pc(s)","0.0","Wardah","","DUS","Irregular","Pc(s)"
"2022-05-24 09:06:20","2022-05-11 03:50:22","DUS-LL15R1-W","DUS-LL15R1-W","Dus Longlasting Lipstick 15 Rouge Red REV-1 Wardah.Ivory250gsm.3W.20x16x90mm.HS.Lam Doff","Dus Longlasting Lipstick 15 R1 W","Packaging Material","Pc(s)","0.0","Wardah","","DUS","Irregular","Pc(s)"
"2022-05-24 09:07:32","2022-05-11 03:51:12","DUS-LL16R1-W","DUS-LL16R1-W","Dus Longlasting Lipstick 16 Smooth Latte REV-1 Wardah.Ivory250gsm.3W.20x16x90mm.HS.Lam Doff","Dus Longlasting Lipstick 16 R1 W","Packaging Material","Pc(s)","0.0","Wardah","","DUS","Irregular","Pc(s)"
"2022-05-24 09:08:37","2022-05-11 03:52:03","DUS-LL17R1-W","DUS-LL17R1-W","Dus Longlasting Lipstick 17 Passionate Red REV-1 Wardah.Ivory250gsm.3W.20x16x90mm.HS.Lam Doff","Dus Longlasting Lipstick 17 R1 W","Packaging Material","Pc(s)","0.0","Wardah","","DUS","Irregular","Pc(s)"
"2022-05-24 09:09:40","2022-05-11 03:52:53","DUS-LL18R1-W","DUS-LL18R1-W","Dus Longlasting Lipstick 18 Sunset Orange REV-1 Wardah.Ivory250gsm.3W.20x16x90mm.HS.Lam Doff","Dus Longlasting Lipstick 18 R1 W","Packaging Material","Pc(s)","0.0","Wardah","","DUS","Irregular","Pc(s)"
"2022-05-24 09:10:52","2022-05-11 03:53:43","DUS-LL19R1-W","DUS-LL19R1-W","Dus Longlasting Lipstick 19 Sunrise Nude REV-1 Wardah.Ivory250gsm.3W.20x16x90mm.HS.Lam Doff","Dus Longlasting Lipstick 19 R1 W","Packaging Material","Pc(s)","0.0","Wardah","","DUS","Irregular","Pc(s)"
"2022-06-17 03:43:52","2022-06-17 03:43:38","DUS-MLMPR0-IP","DUS-MLMPR0-IP","Dus Mattesetter Lip Matte Paint Instaperfect,Ivory 250 gsm,20x20x87mm,2/2,Hotstamping Rose Gold,LamDoff","Dus Mattesetter Lip Matte Paint IP","Packaging Material","Pc(s)","0.0","Instaperfect","","DUS","Irregular","Pc(s)"
"2022-06-17 06:50:17","2022-06-09 01:09:32","DUS-PBSCMBS30-T","DUS-PBSCMBS30-T","Dus PB Squalane + Ceramide MBS 30 ml Tavi,Ivory 310 gsm, 56x56x90mm,F/B 1/1pass,Deboss+VarnishMatte","Dus PB Squalane + Ceramide MBS 30 T","Packaging Material","Pc(s)","0.0","Tavi","","DUS","Irregular","Pc(s)"
"2022-05-24 04:38:20","2022-05-24 04:37:49","DUS-RYDC15R1-W","DUS-RYDC15R1-W","Dus Renew You Day Cream 15 g R1 Wardah, Ivory Metallizing 325, 40x26x115 mm, CMYK + 3W, Varnish Matte","Dus Renew You Day Cream 15 R1 W","Packaging Material","Pc(s)","0.0","Wardah","","DUS","Irregular","Pc(s)"
"2022-06-05 18:49:18","2021-08-13 01:19:16","DUS-SMULCCR1-E","DUS-SMULCCR1-E","Dus SMU L Concealer Caramel REV-01 Emina, Ivory 300, 115x26x20mm,3W, LamDoff, SpotUV","Dus SMU L Concealer Caramel R1 E","Packaging Material","Pc(s)","0.0","Emina","","DUS","Irregular","Pc(s)"
"2022-06-05 18:49:25","2021-08-13 01:17:09","DUS-SMULCLR1-E","DUS-SMULCLR1-E","Dus SMU L Concealer Light REV-01 Emina, Ivory 300, 115x26x20mm,3W, LamDoff, SpotUV","Dus SMU L Concealer Light R1 E","Packaging Material","Pc(s)","0.0","Emina","","DUS","Irregular","Pc(s)"
"2022-06-05 18:49:34","2021-08-13 01:18:20","DUS-SMULCNR1-E","DUS-SMULCNR1-E","Dus SMU L Concealer Natural REV-01 Emina, Ivory 300, 115x26x20mm,3W, LamDoff, SpotUV","Dus SMU L Concealer Natural R1 E","Packaging Material","Pc(s)","0.0","Emina","","DUS","Irregular","Pc(s)"
"2022-05-24 04:26:18","2022-05-23 04:18:07","DUS-SRLSR1-E","DUS-SRLSR1-E","Dus SRLS Sugar Rush Lip Scrub REV-1 Emina. Ivory 300. 3W. 40x20x20mm. Laminating Doff. Emboss","Dus SRLS Sugar Rush Lip Scrub R1 E","Packaging Material","Pc(s)","0.0","Emina","","DUS","Irregular","Pc(s)"
"2022-04-06 01:12:13","2022-04-06 01:12:00","DUS-SSTPR3-MO","DUS-SSTPR3-MO","Dus Silky Smooth Translucent Powder REV-3 Make Over. Ivory 300gsm. 3/1. 70x70x43mm. LamGlossy","Dus Silky Smooth Translucent Powder R3 MO","Packaging Material","Pc(s)","0.0","Make Over","","DUS","Irregular","Pc(s)"
"2022-04-12 08:04:15","2022-04-07 06:54:24","DUS-SLAMR1-E","DUS-SLAMR1-E","Dus Star Lash Aqua Mascara REV-1 Emina. Ivory 300 Import. 2W. 18x18x114mm. Laminating Glossy+Emboss","Dus Star Lash Aqua Mascara R1 Emina","Packaging Material","Pc(s)","0.0","Emina","","DUS","Irregular","Pc(s)"
"2022-04-06 01:14:31","2022-04-06 01:14:09","DUS-VMP20CR1-MO","DUS-VMP20CR1-MO","Dus Velvet Mattifying Primer 20 ml REV-1 CRT Make Over. Ivory250. 2W. 40x26x120. LamDoff","Dus Velvet Mattifying Primer 20 R1 CRT MO","Packaging Material","Pc(s)","0.0","Make Over","","DUS","Irregular","Pc(s)"
"2022-06-05 20:49:13","2021-04-21 04:47:36","GODE-CHCPRER0-W","GODE-CHCPRER0-W","Godet Colorfit Highlight Contour Palette Rectangular Wardah.Aluminium.22,2x48,75x3,6mm.t=0,36mm","Godet Colorfit Highlight Contour Palette Rectangular W","Packaging Material","Pc(s)","0.0","Wardah","Local","GODET","Irregular","Pc(s)"
"2022-06-05 20:49:17","2021-04-21 04:47:36","GODE-CHCPROR0-W","GODE-CHCPROR0-W","Godet Colorfit Highlight Contour Palette Rounded Wardah.Aluminium.22,2x48,75x3,6mm.t=0,36mm","Godet Colorfit Highlight Contour Palette Rounded W","Packaging Material","Pc(s)","0.0","Wardah","Local","GODET","Irregular","Pc(s)"
"2022-06-05 20:49:24","2021-04-21 04:47:37","GODE-CQEPR0-W","GODE-CQEPR0-W","Godet Colorfit Quad Eye Palette Wardah.Aluminium.14.9x30.9x3.9mm.t=0.33mm","Godet Colorfit Quad Eye Palette W","Packaging Material","Pc(s)","0.0","Wardah","Local","GODET","Irregular","Pc(s)"
"2022-06-17 06:39:46","2022-06-17 06:39:16","IBOX-RRPCFLISR0-W","IBOX-RRPCFLISR0-W","Inner Box RRP Fresh Lip Ink Serum Wardah. Ivory 300 gsm. 6W .85x65x114mm. Laminating Doff","Inner Box RRP Fresh Lip Ink Serum W","Packaging Material","Pc(s)","0.0","Wardah","","IBOX","Irregular","Pc(s)"
"2022-06-17 06:41:24","2022-06-17 06:41:08","KB-BPU5LR1-P","KB-BPU5LR1-P","Karton Box Polos 5 L REV-1 Putri. K150/M125/K150 C/F. 1W. 333x278x132mm. No Finishing. Glue","Karton Box Polos 5 L R1 Putri","Packaging Material","Pc(s)","0.0","Putri","","KARTON BOX","Irregular","Pc(s)"
"2022-06-17 06:44:19","2022-06-17 06:40:20","KB-P250R1-P","KB-P250R1-P","Karton Box Putri 12x250ml REV-1 Putri. K150/M125/K150 C/F. 1W. 252x162x155 mm. No Finishing. Glue","Karton Box 250 R1 Putri","Packaging Material","Pc(s)","0.0","Putri","","KARTON BOX","Irregular","Pc(s)"
"2022-06-17 06:42:16","2022-06-17 06:42:02","KB-PHS200R1-P","KB-PHS200R1-P","Karton Box Putri Hair Spray 24x200 ml REV-1 Putri. K150/M125/K150 C/F. 1W. 285x182x182 mm. No Finishing. Glue","Karton Box Putri HS 200 R1 Putri","Packaging Material","Pc(s)","0.0","Putri","","KARTON BOX","Irregular","Pc(s)"
"2022-06-17 06:43:19","2022-06-17 06:42:59","KB-PHT200DR1-P","KB-PHT200DR1-P","Karton Box Putri Hair tonik 24x200 ml Dus REV-1 Putri. K150/M125/K150 C/F. 1W. 315x268x173 mm. No Finishing. Glue","Karton Box Putri HT 200 Dus R1 Putri","Packaging Material","Pc(s)","0.0","Putri","","KARTON BOX","Irregular","Pc(s)"
"2021-10-05 00:20:22","2021-08-19 02:41:08","BOTO-PSNFSMPLTR0-E","BOTO-PSNFSMPLTR0-E","PS Bottle NFS Magic Potion Lip Tint Emina,Sanjin,PP,Injection Natural,No Finishing","PS Bottle NFS Magic Potion Lip Tint 0.5 mL Emina","Packaging Material","Pc(s)","0.0","Emina","","BOTPOT","Irregular","Pc(s)"
"2021-10-05 00:20:53","2021-08-19 02:40:04","CAPA-PSNFSMPLTR0-E","CAPA-PSNFSMPLTR0-E","PS Cap+Wiper NFS Magic Potion Lip Tint Emina,Sanjin,Cap:PP,Wiper:LLDPE+EVA,Cap:Injection Color White,Wiper:Injection Natural,No Finishing","PS Cap+Wiper NFS Magic Potion Lip Tint 0.5 mL Emina","Packaging Material","Pc(s)","0.0","Emina","","CAP","Irregular","Pc(s)"
"2022-06-06 06:50:48","2022-02-02 06:39:36","BOTO-PSFSUAR0-IP","BOTO-PSFSUAR0-IP","PS Final Bottle Step Up Anna IP,HCP,65Q,InjectionTransparent,MetalizingRoseGoldCollar,1PassPrinting,HotstampingRoseGold,SprayMatte","PS Final Bottle Step Up Anna IP","Packaging Material","Pc(s)","0.0","Instaperfect","Imported","BOTPOT","Irregular","Pc(s)"
"2022-06-06 06:52:26","2021-11-24 01:20:53","DUS-PSFMLMPFE14R0-IP","DUS-PSFMLMPFE14R0-IP","PS Final Dus Mattesetter Lip Matte Paint Festive Edition 14 Instaperfect,Ivory 250 gsm,20x20x87mm,4W(Tinta ULR),Varnish Matte,Spot UV","PS Final Dus Mattesetter Lip Matte Paint Festive Edition 14 IP","Packaging Material","Pc(s)","0.0","Instaperfect","","DUS","Irregular","Pc(s)"
"2022-06-06 07:15:50","2021-04-21 05:01:14","PLAS-DMCTWCRP-P85","PLAS-DMCTWCRP-P85","Plastik Dalam Mica Container TWC Refill Puffin,PVC 80 micron,d=55mm","Case/Container Plastik Dalam Mica TW Refill Puffin Wardah","Packaging Material","Pc(s)","0.0","Wardah","Local","PLASTIK","Irregular","Pc(s)"
"2022-03-18 01:37:54","2021-10-12 01:01:03","PLAS-DMEXER0-W","PLAS-DMEXER0-W","Plastik Dalam Mica PET EyeXpert Eyebrow Kit Wardah, PET 100 mic,1W, 60x40mm","Plastik Dalam Mica PET EyeXpert Eyebrow Kit W","Packaging Material","Pc(s)","0.0","Wardah","","PLASTIK MICA","Irregular","Pc(s)"
"2022-03-18 01:37:53","2021-10-12 01:15:45","PLAS-DM62R0-P","PLAS-DM62R0-P","Plastik Dalam Mica PET Lulur 150 ml Putri, PET 100 mic, D=62 mm","Plastik Dalam Mica PET Lulur 150 ml P","Packaging Material","Pc(s)","0.0","Putri","","PLASTIK MICA","Irregular","Pc(s)"
"2022-02-10 03:59:46","2022-02-10 01:38:21","CUS-PDCCC51R1-MO","CUS-PDCCC51R1-MO","Powerstay DMC Cushion C51 Cool Tan REV-1 Make Over, Cont(BlackDoff+HS),Puff(black),UB","Powerstay DMC Cushion C51 R1 MO","Packaging Material","Pc(s)","0.0","Make Over","","FINISHED GOOD OEM","Irregular","Pc(s)"
"2022-02-10 04:02:17","2022-02-10 01:41:46","CUS-PDCCW41R1-MO","CUS-PDCCW41R1-MO","Powerstay DMC Cushion W41 Coral Sand REV-1 Make Over, Cont(BlackDoff+HS),Puff(black),UB","Powerstay DMC Cushion W41 R1 MO","Packaging Material","Pc(s)","0.0","Make Over","","FINISHED GOOD OEM","Irregular","Pc(s)"
"2022-06-06 07:58:41","2021-04-21 04:49:37","PUFF-DMCPR0-E","PUFF-DMCPR0-E","Puff Daily Matte Compact Powder Emina.Polyester.White.d=54mm.t=5mm","Puff Daily Matte Compact Powder E","Packaging Material","Pc(s)","0.0","Emina","Local","PUFF","Irregular","Pc(s)"
"2022-06-14 08:59:10","2021-04-21 05:01:20","PUFF-LPMOD58FP-PH","PUFF-LPMOD58FP-PH","Puff Loose Powder Make Over,D=58mm,Flocked puff,Black Ribbon","Case/Container Puff Loose Powder d=58mm Pita Hitam Make ove","Packaging Material","Pc(s)","0.0","Make Over","Imported","PUFF","Irregular","Pc(s)"
"2021-12-09 07:25:36","2021-12-09 07:25:12","PUFF-PPFR0-MO","PUFF-PPFR0-MO","Puff Powerstay Matte Powder Foundation Revamp Make Over. Dual sided NBR + Flock. D=54.5 mm, T= 5.5 mm. Black","Puff Powerstay Matte Powder Foundation Revamp MO","Packaging Material","Pc(s)","0.0","Make Over","","PUFF","Irregular","Pc(s)"
"2022-06-16 23:58:10","2021-04-21 07:08:10","MOIS-PGPD-X","MST1-ACG","Purolan PD ex Lanxess Distribution GmbH, Germany","emmoisturize","Raw Material","kg","0.0","","Imported","BAHAN BAKU UMUM","Regular","kg"
"2022-06-14 06:24:14","2021-11-02 07:27:35","ACTI-SKINFLV-X","MST1-BKBEA","SK INFLUX V MB","Lamellar Lipid","Raw Material","kg","0.0","","Imported","BAHAN BAKU UMUM","Irregular","kg"
