Destination,(All),,,,,,,,,,Kebutuhan (pcs),Pcs/Koli,Under,Over,,,,
59,F-WOELN04-W20ML,Wardah Exclusive Liquid Foundation 04 Natural 20 Ml,,0,0,0,0,0,0,0,0,#DIV/0!,28,"85,721",1,to be discontinued,0,1
71,MASK-EEAL-W6GR,Wardah Eyexpert Aqua Lash Mascara 6 Gr (Pc(S)),,"7,848","2,484",216,0,34,"10,582","8,639",449,24,216,"49,054","36,036",existing,0,"46,584"
72,REM-EEM-W50ML,Wardah Eyexpert Eye & Lip Makeup Remover 50 Ml,,"6,415","2,100",174,0,712,"9,401","7,201",367,26,42,"27,252","16,548",existing,"4,032","29,269"
73,REM-EEM-W100ML,Wardah Eyexpert Eye & Lip Makeup Remover 100 Ml,,"5,619","2,700",330,0,486,"9,135","7,901",443,21,30,"41,126","8,130",existing,"4,080","20,859"
74,ES-ECL-W4.2GR,"Eyexpert Eyeshadow Nude Classic, 4.2 Gr",,2,0,0,0,0,2,0,0,#DIV/0!,1,"44,595",0,existing,0,2
76,EL-EOHB-W1GR,Wardah Eyexpert Optimum Hi-Black Liner 1 Gr (Pc(S)),,"32,306","5,160",372,0,5,"37,843","25,593","1,356",28,"1,440","79,775","155,664",existing,0,"193,502"
77,MASK-EEPC-W7GR,Wardah Eyexpert Perfectcurl Mascara 7 Gr (Pc(S)),,"10,572","3,768",300,0,1,"14,641","12,965",698,21,144,"67,387","25,596",existing,0,"40,236"
78,EL-ESG-W2GR,Wardah Eyexpert Staylast Gel Eyeliner 2 Gr (Pc(S)),,7,0,0,0,0,7,0,0,#DIV/0!,54,"47,568",0,to be discontinued,0,7
79,"EL-ESL-W3,5GR","Wardah Eyexpert Staylast Liquid Eyeliner 3,5 Gr (Pc(S))",,"7,660","2,724",144,0,148,"10,676","8,755",482,22,144,"41,126","22,092",existing,0,"32,620"
80,BBC-LL-W15ML,Wardah Lightening Bb Cream Light 15 Ml (Pc(S)),,"41,618","15,084","1,206",0,42,"57,950","54,004","2,919",20,48,"32,703","86,112",existing,0,"144,020"
81,BBC-LL-W30ML,Wardah Lightening Bb Cream Light 30 Ml (Pc(S)),,"4,949","1,116",36,0,34,"6,135","5,078",241,25,36,"62,234","5,472",existing,0,"11,573"
82,BBC-LN-W15ML,Wardah Lightening Bb Cream Natural 15 Ml (Pc(S)),,"35,045","13,872","1,014",0,18,"49,949","48,032","2,695",19,48,"32,703","49,680",existing,"26,895","126,506"
83,BBC-LN-W30ML,Wardah Lightening Bb Cream Natural 30 Ml (Pc(S)),,"7,150","1,116",72,0,36,"8,374","6,031",294,28,36,"62,234","5,256",existing,0,"13,594"
117,BO-W1A-W4GR,Wardah Blush On A 4 Gr,,"4,121",840,240,0,0,"5,201","3,694",179,29,120,"45,586",959,existing,"2,400","8,560"
118,BO-W1B-W4GR,Wardah Blush On B 4 Gr,,9,0,0,0,0,9,0,0,#DIV/0!,120,"44,099",0,to be discontinued,0,9
119,BO-W1C-W4GR,Wardah Blush On C 4 Gr,,"5,810","1,600",120,0,13,"7,543","5,837",289,26,120,"45,586","3,120",existing,"2,400","13,050"
120,BO-W0D-W4GR,Wardah Blush On D 4 Gr,,3,0,0,0,2,5,0,0,#DIV/0!,120,"44,099",0,to be discontinued,0,3
121,B-W3ELCP01-W14G,Wardah Evd Lum Compact Powder 01 Light Beige 14 G (Pc(S)),,21,0,0,0,2,23,0,0,#DIV/0!,44,"41,622",0,to be discontinued,0,21
122,B-W3ELCP02-W14G,Wardah Evd Lum Compact Powder 02 Beige 14 G (Pc(S)),,8,0,0,0,1,9,0,0,#DIV/0!,44,"41,622",0,to be discontinued,0,8
123,B-W3ELCP03-W14G,Wardah Evd Lum Compact Powder 03 Ivory 14 G (Pc(S)),,3,0,0,0,27,30,0,0,#DIV/0!,44,"41,622",0,to be discontinued,0,3
124,B-W3ELCP04-W14G,Wardah Evd Lum Compact Powder 04 Natural 14 G (Pc(S)),,2,0,0,0,2,4,0,0,#DIV/0!,44,"41,622",0,to be discontinued,0,2
125,"F-WODF-W4,5GR","Wardah Double Function Kit 4,5 Gr",,680,0,0,0,0,680,24,5,132,84,"50,541",3,to be discontinued,0,683
126,BBC-EL-W15ML,Wardah Everyday Bb Cream Light 15 Ml (Pc(S)),,"22,102","6,864",192,0,10,"29,168","27,249","1,400",21,48,"28,243","45,360",existing,0,"74,518"
127,BBC-EL-W30ML,Wardah Everyday Bb Cream Light 30 Ml (Pc(S)),,"4,160",612,72,0,20,"4,864","3,814",154,32,36,"48,955","18,000",existing,0,"22,844"
128,BBC-EN-W15ML,Wardah Everyday Bb Cream Natural 15 Ml (Pc(S)),,"33,830","12,634",864,0,119,"47,447","45,096","2,416",20,48,"28,243","27,312",existing,"46,800","121,440"
129,BBC-EN-W30ML,Wardah Everyday Bb Cream Natural 30 Ml (Pc(S)),,"4,355","1,296",180,0,4,"5,835","5,084",218,27,36,"48,955","23,544",existing,0,"29,375"
130,"F-W3ELCECSP-W8,5G","Wardah Evd Lum Creamy Foundation Extra Cover 01 Sheer Pink 8,5 G (Pc(S))",,5,0,0,0,0,5,0,0,#DIV/0!,45,"37,658",0,to be discontinued,0,5
131,"F-W3ELCECB51-W8,5G","Wardah Evd Lum Creamy Foundation Extra Cover 02 Light Beige 8,5 G (Pc(S))",,1,0,0,0,0,1,0,0,#DIV/0!,45,"37,658",0,to be discontinued,0,1
132,"F-W3ELCECB5-W8,5G","Wardah Evd Lum Creamy Foundation Extra Cover 03 Beige 8,5 G (Pc(S))",,10,0,0,0,0,10,0,0,#DIV/0!,45,"37,658",0,to be discontinued,0,10
133,"F-W3ELCECN-W8,5G","Wardah Evd Lum Creamy Foundation Extra Cover 04 Natural 8,5 G (Pc(S))",,8,0,0,0,6,14,0,0,#DIV/0!,45,"37,658",0,to be discontinued,0,8
134,F-W3ELCLFSP-W11G,Wardah Evd Lum Creamy Foundation Light Feel 01 Sheer Pink 11 G (Pc(S)),,0,0,0,0,1,1,0,0,#DIV/0!,45,"35,180",0,to be discontinued,0,0
135,F-W3ELCLFB51-W11G,Wardah Evd Lum Creamy Foundation Light Feel 02 Light Beige 11 G (Pc(S)),,0,0,0,0,24,24,0,0,#DIV/0!,45,"35,180",0,to be discontinued,0,0
136,F-W3ELCLFB5-W11G,Wardah Evd Lum Creamy Foundation Light Feel 03 Beige 11 G (Pc(S)),,5,0,0,0,20,25,0,0,#DIV/0!,45,"35,180",0,to be discontinued,0,5
138,B-W3ELFP01-W30G,Wardah Evd Lum Face Powder 01 Light Beige 30 G (Pc(S)),,"8,190","4,036",384,0,11,"12,621","11,467",668,19,48,"43,108","3,264",existing,"9,648","25,522"
139,B-W3ELFP02-W30G,Wardah Evd Lum Face Powder 02 Beige 30 G (Pc(S)),,"9,340","3,168",291,0,2,"12,801","12,195",673,19,48,"43,108","1,873",existing,"9,888","24,560"
140,B-W3ELFP03-W30G,Wardah Evd Lum Face Powder 03 Ivory 30 G (Pc(S)),,"8,147","1,392",96,0,7,"9,642","8,241",415,23,48,"43,108","4,464",existing,"9,792","23,891"
141,B-W3ELFP04-W30G,Wardah Evd Lum Face Powder 04 Natural 30 G (Pc(S)),,"7,163","2,640",192,0,6,"10,001","9,120",485,21,48,"43,108","3,552",existing,"9,792","23,339"
142,F-W3ELLB51-W40ML,Wardah Evd Lum Liquid Foundation 02 Light Beige 40 Ml (Pc(S)),,7,0,0,0,2,9,0,0,#DIV/0!,48,"41,126",0,to be discontinued,0,7
143,F-W3ELLB5-W40ML,Wardah Evd Lum Liquid Foundation 03 Beige 40 Ml (Pc(S)),,36,0,0,0,16,52,0,0,#DIV/0!,48,"41,126",0,to be discontinued,0,36
144,F-W3ELLNW-W40ML,Wardah Evd Lum Liquid Foundation 01 Natural White 40 Ml (Pc(S)),,6,0,0,0,4,10,0,0,#DIV/0!,48,"41,126",0,to be discontinued,0,6
145,F-W3ELLN-W40ML,Wardah Evd Lum Liquid Foundation 04 Natural 40 Ml (Pc(S)),,10,0,0,0,3,13,0,0,#DIV/0!,48,"41,126",0,to be discontinued,0,10
146,TC-W3ELLB1-W12G,Wardah Evd Lum Two Way Cake 01 Light Beige 12 G (Pc(S)),,"5,592","1,800",36,0,1,"7,429","5,634",260,29,36,"49,054","7,488",existing,"2,916","17,832"
147,TC-W3ELB2-W12G,Wardah Evd Lum Two Way Cake 02 Beige 12 G (Pc(S)),,"5,948","1,332",0,0,114,"7,394","5,422",258,29,36,"49,054",936,existing,"2,880","11,096"
148,TC-W3ELI3-W12G,Wardah Evd Lum Two Way Cake 03 Ivory 12 G (Pc(S)),,"4,621","1,620",36,0,3,"6,280","4,932",224,28,36,"49,054",0,existing,"3,132","9,409"
149,TC-W3ELLI4-W12G,Wardah Evd Lum Two Way Cake 04 Light Ivory 12 G (Pc(S)),,"4,812","1,404",36,0,2,"6,254","5,374",192,32,36,"49,054",324,existing,"2,088","8,664"
150,"ES-W1A-W4,2GR","Eye Shadow A, 4.2 Gr",,1,0,0,0,0,1,0,0,#DIV/0!,120,"45,586",0,to be discontinued,0,1
154,"ES-W1E-W4,2GR","Eye Shadow E, 4.2 Gr",,0,0,0,0,0,0,0,0,#DIV/0!,120,"45,586",0,to be discontinued,0,0
168,"L-W1G2-W3,8GR",Wardah Lipgloss 3.8 Gr,,0,0,0,0,3,3,0,0,#DIV/0!,12,"27,252",0,to be discontinued,0,0
169,"L-W0BO-W6,5GR","Wardah Lipbalm Orange 6,5 Gr (Pc(S))",,0,0,0,0,2,2,0,0,#DIV/0!,144,"22,297",0,to be discontinued,0,0
172,L-W0PC-W10G,Wardah Lip Palette Chocoaholic 10 G (Pc(S)),,2,0,0,0,0,2,0,0,#DIV/0!,78,"69,369",0,to be discontinued,0,2
173,L-W0PPR-W10G,Wardah Lip Palette Perfect Red 10 G (Pc(S)),,6,0,0,0,1,7,0,0,#DIV/0!,78,"69,369",0,to be discontinued,0,6
174,L-W0PPP-W10G,Wardah Lip Palette Pinky Peach 10 G (Pc(S)),,5,5,0,0,0,10,0,1,8,78,"69,369",0,to be discontinued,0,10
175,"L-LLW0C1-W2,5GR",Wardah Longlasting Lipstick 01 Fabulous Peach 2.3 G (Pc(S)),,0,0,0,0,0,0,0,0,#DIV/0!,12,"45,586",0,existing,0,0
176,"L-LLW0C2-W2,5GR",Wardah Longlasting Lipstick 02 Pink Sorbet 2.3 G (Pc(S)),,2,0,0,0,0,2,0,0,#DIV/0!,12,"45,586",0,existing,0,2
178,"L-LLW0C4-W2,5GR",Wardah Longlasting Lipstick 04 Antique Pink 2.3 G (Pc(S)),,1,0,0,0,0,1,0,0,#DIV/0!,12,"45,586",0,existing,0,1
179,"L-LLW0C5-W2,5GR",Wardah Longlasting Lipstick 05 Fuchsia Fever 2.3 G (Pc(S)),,0,0,0,0,0,0,0,0,#DIV/0!,12,"45,586",0,existing,0,0
182,"L-LLW0C8-W2,5GR",Wardah Longlasting Lipstick 08 Red Velvet 2.3 G (Pc(S)),,0,0,0,0,0,0,0,0,#DIV/0!,12,"45,586",0,existing,0,0
184,"L-LLW0C10-W2,5GR",Wardah Longlasting Lipstick 10 Stylish Mocca 2.3 G (Pc(S)),,1,0,0,0,0,1,0,0,#DIV/0!,12,"45,586",0,existing,0,1
186,"L-LLW0C12-W2,5GR",Wardah Longlasting Lipstick 12 Lustrous Red 2.3 G (Pc(S)),,0,0,0,0,0,0,0,0,#DIV/0!,12,"45,586",0,existing,0,0
188,"L-NWP1N1-W3,8G","Matte Lipstick 01, 3.8 Gr",,3,0,0,0,0,3,0,0,#DIV/0!,12,"34,189",0,to be discontinued,0,3
205,"L-W1CMRPC18-W3,8GR","Wardah Matte Lipstick 18 Rosy Pink 3,8 Gr (Pc(S))",,4,0,0,0,0,4,0,0,#DIV/0!,12,"34,189",0,to be discontinued,0,4
209,B-W3RELCP01-W14G,Wardah Refill Evd Lum Compact Powder 01 Light Beige 14 G (Pc(S)),,8,0,0,0,0,8,0,0,#DIV/0!,54,"31,216",0,to be discontinued,0,8
210,B-W3RELCP02-W14G,Wardah Refill Evd Lum Compact Powder 02 Beige 14 G (Pc(S)),,2,0,0,0,6,8,0,0,#DIV/0!,54,"31,216",0,to be discontinued,0,2
211,B-W3RELCP03-W14G,Wardah Refill Evd Lum Compact Powder 03 Ivory 14 G (Pc(S)),,21,0,0,0,7,28,0,0,#DIV/0!,54,"31,216",0,to be discontinued,0,21
212,B-W3RELCP04-W14G,Wardah Refill Evd Lum Compact Powder 04 Natural 14 G (Pc(S)),,7,0,0,0,31,38,0,0,271,54,"31,216",0,to be discontinued,0,7
217,TC-W3RELLB1-W12G,Wardah Refill Evd Lum Two Way Cake 01 Light Beige 12 G (Pc(S)),,"12,868","3,588",300,0,0,"16,756","14,261",565,30,144,"34,189","7,500",existing,"8,928","33,184"
218,TC-W3RELB2-W12G,Wardah Refill Evd Lum Two Way Cake 02 Beige 12 G (Pc(S)),,"12,624","2,772",0,0,8,"15,404","12,586",497,31,144,"34,189","8,016",existing,"8,928","32,340"
219,TC-W3RELI3-W12G,Wardah Refill Evd Lum Two Way Cake 03 Ivory 12 G (Pc(S)),,"12,720","4,344",864,0,0,"17,928","16,244",621,29,144,"34,189","6,347",existing,"8,928","33,203"
220,TC-W3RELLI4-W12G,Wardah Refill Evd Lum Two Way Cake 04 Light Ivory 12 G (Pc(S)),,"10,351","2,220",144,0,0,"12,715","10,299",373,34,144,"34,189","3,348",existing,"8,928","24,991"
222,PUFF-W0N-WP,Wardah Puff Nbr,,2,0,0,0,20,22,0,0,#DIV/0!,200,"13,378",0,to be discontinued,0,2
226,"L-W1WSPPC4-W4,5ML","Wardah Wondershine 04 Pale Pink 4,5 Ml",,2,0,0,0,0,2,0,0,#DIV/0!,24,"35,180",0,to be discontinued,0,2
230,FS-W3-W60ML,Wardah Essential Facial Scrub 60 Ml (Pc(S)),,1,0,0,0,0,1,0,0,#DIV/0!,36,"15,360",0,inactive,0,1
243,M-W3GT1-W40ML,Wardah Sunscreen Gel Spf 30 40 Ml (Pc(S)),,49,0,0,0,0,49,0,0,#DIV/0!,30,"31,712",0,inactive,0,49
244,M-AGDC-W17ML,Wardah Renew You Anti Aging Day Cream 17 Ml (Pc(S)),,2,0,0,0,27,29,0,0,#DIV/0!,36,"53,018",0,to be discontinued,0,2
245,M-AGDC-W30GR,Wardah Renew You Anti Aging Day Cream 30 Gr (Pc(S)),,0,0,0,0,176,176,0,178,1,24,"104,054",0,to be discontinued,0,0
246,SRM-AGIS-W17ML,Wardah Renew You Anti Aging Intensive Serum 17 Ml (Pc(S)),,0,0,0,0,12,12,"1,433",140,0,30,"92,162",1,existing,0,1
247,M-AGNC-W17ML,Wardah Renew You Anti Aging Night Cream 17 Ml (Pc(S)),,0,0,0,0,48,48,0,0,#DIV/0!,36,"54,505",0,to be discontinued,0,0
248,M-AGNC-W30GR,Wardah Renew You Anti Aging Night Cream 30 Gr (Pc(S)),,4,0,0,0,112,116,0,145,1,24,"107,523",0,to be discontinued,0,4
264,BUT-W0LG-W50ML,Wardah Creamy Body Butter With Lavender & Ginger 50 Ml (Pc(S)),,"1,138",128,32,0,0,"1,298",567,50,26,32,"21,802","3,808",to be discontinued,0,"5,106"
265,BUT-W0MP-W50ML,Wardah Creamy Body Butter With Milk & Pearl 50 Ml (Pc(S)),,"1,901",560,96,0,0,"2,557","1,940",85,30,32,"21,802","2,080",existing,0,"4,637"
266,BUT-W0O-W50ML,Wardah Creamy Body Butter With Olive 50 Ml (Pc(S)),,"2,709",480,64,0,0,"3,253","1,786",66,49,32,"21,802","2,464",existing,0,"5,717"
267,BUT-W0P-W50ML,Wardah Creamy Body Butter With Passion Fruit 50 Ml (Pc(S)),,"1,846",300,0,0,0,"2,146","1,353",54,40,32,"21,802","5,184",existing,0,"7,330"
268,BUT-W0R-W50ML,Wardah Creamy Body Butter With Rose 50 Ml (Pc(S)),,"1,706",408,32,0,1,"2,147","1,336",55,39,32,"21,802",960,existing,0,"3,106"
269,BUT-W0S-W50ML,Wardah Creamy Body Butter With Strawberry 50 Ml (Pc(S)),,"1,668",544,64,0,0,"2,276","1,667",80,29,32,"21,802","2,336",existing,0,"4,612"
275,BUT-W0S-W100ML,Wardah Creamy Body Butter With Strawberry 100 Ml (Pc(S)),,0,0,0,0,5,5,0,0,#DIV/0!,66,"35,180",0,inactive,0,0
276,BUT-W3LG-W150ML,Wardah Creamy Body Butter With Lavender & Ginger 150 Ml (Pc(S)),,2,0,0,0,0,2,0,0,#DIV/0!,12,"49,550",0,to be discontinued,0,2
277,BUT-W3MP-W150ML,Wardah Creamy Body Butter With Milk & Pearl 150 Ml (Pc(S)),,1,0,0,0,0,1,0,0,#DIV/0!,12,"49,550",0,to be discontinued,0,1
278,BUT-W3O-W150ML,Wardah Creamy Body Butter With Olive 150 Ml (Pc(S)),,13,0,0,0,0,13,0,0,#DIV/0!,12,"49,550",0,to be discontinued,0,13
279,BUT-W3P-W150ML,Wardah Creamy Body Butter With Passion Fruit 150 Ml (Pc(S)),,9,0,0,0,49,58,0,0,#DIV/0!,12,"49,550",0,to be discontinued,0,9
280,BUT-W3R-W150ML,Wardah Creamy Body Butter With Rose 150 Ml (Pc(S)),,5,0,0,0,0,5,0,0,#DIV/0!,12,"49,550",0,inactive,0,5
281,BUT-W3S-W150ML,Wardah Creamy Body Butter With Strawberry 150 Ml (Pc(S)),,0,0,0,0,4,4,0,0,#DIV/0!,12,"49,550",0,to be discontinued,0,0
282,MZ-W1M2-W150ML,Wardah Olive Oil For Massage 150 Ml,,"2,456",600,0,0,0,"3,056","1,939",88,35,24,"46,577","2,184",existing,0,"5,240"
283,MZ-W1M1-W50ML,Wardah Pure Olive Oil 50 Ml,,"2,798","1,148",56,0,0,"4,002","3,417",161,25,28,"26,757","3,136",existing,"2,492","9,630"
284,LW-W3O-W150ML,Wardah Soft Body Scrub With Olive 150 Ml (Pc(S)),,712,32,0,0,1,745,"1,099",50,15,12,"45,090",0,existing,0,744
285,LW-W3O-W240ML,Wardah Soft Body Scrub With Olive 240 Ml (Pc(S)),,"1,102",235,0,0,0,"1,337","1,136",40,33,8,"54,009",0,existing,"1,087","2,424"
286,LW-W3P-W150ML,Wardah Soft Body Scrub With Passion Fruit 150 Ml (Pc(S)),,"1,251",204,24,0,0,"1,479","1,068",35,42,12,"45,090",84,existing,0,"1,563"
287,LW-W3S-W150ML,Wardah Soft Body Scrub With Strawberry 150 Ml (Pc(S)),,"1,364",192,48,0,12,"1,616",940,36,45,12,"45,090",132,existing,432,"2,168"
288,PH-HU-W,Paket Haji Dan Umroh Wardah (Pc(S)),,20,85,0,0,0,105,872,59,2,50,"143,198",1,existing,0,106
289,M-WSDC-W17ML,Wardah White Secret Day Cream 17 Ml (Pc(S)),,23,108,0,0,0,131,0,0,#DIV/0!,36,"49,550",0,to be discontinued,0,131
290,M-WSDC-W30GR,Wardah White Secret Day Cream 30 Gr (Pc(S)),,5,0,0,0,118,123,0,0,#DIV/0!,24,"99,099",0,inactive,0,5
291,FT-WSEL-W150ML,Wardah White Secret Exfoliating Lotion 150 Ml (Pc(S)),,12,0,0,0,0,12,0,0,#DIV/0!,24,"71,351",0,inactive,0,12
294,FW-WS-W100ML,Wardah White Secret Facial Wash With Aha 100 Ml (Pc(S)),,0,0,0,0,6,6,0,0,#DIV/0!,30,"37,162",0,to be discontinued,0,0
295,SRM-WSIBE-W17ML,Wardah White Secret Intense Brightening Essence 17 Ml (Pc(S)),,70,0,0,0,0,70,0,0,#DIV/0!,30,"87,207",0,to be discontinued,0,70
296,M-WSNC-W17ML,Wardah White Secret Night Cream 17 Ml (Pc(S)),,1,0,0,0,224,225,0,0,#DIV/0!,36,"51,036",0,to be discontinued,0,1
297,M-WSNC-W30GR,Wardah White Secret Night Cream 30 Gr (Pc(S)),,7,0,0,0,53,60,0,0,#DIV/0!,24,"102,072",0,to be discontinued,0,7
298,CM-WSPB-W150ML,Wardah White Secret Pure Brightening Cleanser 150 Ml (Pc(S)),,2,24,0,0,0,26,0,0,#DIV/0!,24,"29,730",0,to be discontinued,0,26
299,FS-WS-W50ML,Wardah White Secret Exfoliating Scrub 50 Ml (Pc(S)),,3,0,0,0,0,3,0,0,#DIV/0!,24,"25,270",0,inactive,0,3
301,HT-P1G-P200,"Hair Tonic Ginseng, 200 Ml",,"8,085","2,064",72,0,27,"10,248","9,352",512,20,24,"26,757","4,656",existing,"5,256","20,133"
303,HT-P1G-P450,"Hair Tonic Ginseng, 450 Ml",,"3,368",852,96,0,0,"4,316","4,091",219,20,12,"38,649","4,128",existing,"2,460","10,904"
304,HT-P1G-P2,"Hair Tonic Ginseng, 2 L",,479,69,9,0,0,557,309,15,36,3,"139,234",687,existing,0,"1,244"
305,HT-P1Y1-P200,"Hair Tonic Normal Hair (Yellow), 200 Ml",,"4,172","1,704",48,0,7,"5,931","4,981",229,26,24,"26,757","4,248",existing,0,"10,172"
307,HT-P1Y1-P450,"Hair Tonic Normal Hair (Yellow), 450 Ml",,"2,282",696,12,0,11,"3,001","2,357",86,35,12,"38,649","1,128",existing,"3,194","7,312"
308,HT-P1Y1-P2,"Hair Tonic Normal Hair (Yellow), 2 L",,640,75,3,0,0,718,351,18,40,3,"139,234",714,existing,0,"1,432"
309,HT-P1G1-P200,"Hair Tonic Normal To Oily Hair (Green), 200 Ml",,"11,360","4,704",144,0,23,"16,231","14,346",699,23,24,"26,757","4,896",existing,"5,136","26,240"
311,HT-P1G1-P450,"Hair Tonic Normal To Oily Hair (Green), 450 Ml",,"5,461","1,788",192,0,0,"7,441","6,769",322,23,12,"38,649","2,845",existing,"4,632","14,918"
312,HT-P1G1-P2,"Hair Tonic Normal To Oily Hair (Green), 2 L",,"2,378",354,78,0,0,"2,810","2,056",88,32,3,"139,234",831,existing,"2,142","5,783"
313,HT-P1G1-P5,"Hair Tonic Normal To Oily Hair (Green), 5 L",,0,0,0,0,0,0,0,0,0,1,"296,306",0,existing,0,0
314,MK-P1-P100,Putri Natural Candlenut Oil 100 Ml (Pc(S)),,713,12,0,0,0,725,512,23,31,27,"24,279",0,existing,0,725
315,CB-P1L1-P240,Putri Natural Creambath Aloe Vera 240 Ml (Pc(S)),,669,30,0,0,0,699,656,17,40,24,"24,279",0,existing,"1,550","2,249"
316,CB-P1L1-P720,Putri Natural Creambath Aloe Vera 720 Ml (Pc(S)),,219,60,0,0,1,280,150,6,50,12,"49,550",120,existing,0,399
317,CB-P1A-P240,Putri Natural Creambath Avocado 240 Ml (Pc(S)),,"1,337",294,0,0,0,"1,631","1,044",29,57,24,"24,279",528,existing,0,"2,159"
318,CB-P1A-P720,Putri Natural Creambath Avocado 720 Ml (Pc(S)),,267,18,0,0,0,285,144,4,71,12,"49,550",0,existing,276,561
321,CB-P1G-P240,Putri Natural Creambath Ginseng 240 Ml (Pc(S)),,949,242,0,0,0,"1,191","1,012",22,55,24,"24,279",0,existing,0,"1,191"
322,CB-P1G-P720,Putri Natural Creambath Ginseng 720 Ml (Pc(S)),,225,0,0,0,0,225,114,4,56,12,"49,550",0,existing,0,225
323,CB-P1K-P240,Putri Natural Creambath Candlenut 240 Ml (Pc(S)),,"1,021",198,0,0,0,"1,219",597,15,81,24,"24,279",624,existing,0,"1,843"
324,CB-P1K-P720,Putri Natural Creambath Candlenut 720 Ml (Pc(S)),,295,48,0,0,0,343,156,7,50,12,"49,550",72,existing,0,415
325,CB-P1L1-PR1,Putri Natural Creambath Aloe Vera Refill 1 Kg (Pc(S)),,1,0,0,0,0,1,0,0,#DIV/0!,6,"39,144",0,to be discontinued,0,1
329,CB-P1K-PR1,Putri Natural Creambath Candlenut Refill 1 Kg (Pc(S)),,0,0,0,0,1,1,0,0,#DIV/0!,6,"39,144",0,inactive,0,0
330,M-P1PD-P200,Putri Platinum Deep Moisturizer Spray 200 Ml (Pc(S)),,520,0,0,0,0,520,90,2,304,24,"33,198",264,existing,0,784
331,HM-P1P-P240,Putri Platinum Hair Mask 240 Ml (Pc(S)),,16,0,0,0,0,16,0,0,#DIV/0!,24,"25,270",0,to be discontinued,0,16
332,HM-P1P-P720,Putri Platinum Hair Mask 720 Ml (Pc(S)),,750,24,0,0,0,774,260,10,77,12,"73,829",276,existing,0,"1,050"
333,N-P1P3P-P240,Putri Platinum Neutralizer Step 2 240 Ml (Pc(S)),,249,24,0,0,0,273,60,1,239,24,"29,730","1,704",existing,0,"1,977"
