Week Bulk sisa dihasilkan;Sediaan;ZONA;Kode SL;Kode Bulk;NOMO;Kode Item;KODE ITEM SNFG;Nama Bulk;BESAR BATCH;Jumlah FG (Pc(s));"Jumlah Supply Packaging
(Pc(s))";"No. Batch
";No Batch Bulk Sisa;Item Komponen;Konfirmasi MPS;Konfirmasi Packaging
W23;S;BOTTLE 12 NOZZLE - SEMISOLID;B;L-CVM013-BULK;MO-L-CVM013-BULK/I0016;L-CVM013-W;L-CVM013-W/I0016;Wardah Colorfit Velvet Matte Lip Mousse 13 Sweet Cinnamon;3.836;768;788;FJ06A;FJ06AX;;;
W47;S;JAR LINE - SEMISOLID;A;L-LBH-BULK;MO-L-LBH-BULK/H0001;L-LBH-KA;L-LBH-KA/H0001;KAHF Multipurpose Moisturizing Balm;7.825;0;20;KI18A;KI18AX;;;
W12;S;JAR LINE - SEMISOLID;C;L-LBH-BULK;MO-L-LBH-BULK/I0004;L-LBH-KA;L-LBH-KA/I0004;KAHF Multipurpose Moisturizing Balm;2.131;0;20;CJ17A;CJ17AX;;;
W22;V;VARCOS A;A;L-MLCL-BULK;MO-L-MLCL-BULK/I0047;L-MLCL-OMG;L-MLCL-OMG/I0046;OMG OH MY GLAM Matte Kiss Lip Cream 12 Scarlet;10.404;2880;3024;EJ27A;EJ27AX;;;
W23;V;VARCOS A;A;L-MLCL-BULK;MO-L-MLCL-BULK/I0048;L-MLCL-OMG;L-MLCL-OMG/I0047;OMG OH MY GLAM Matte Kiss Lip Cream 12 Scarlet;7.284;2016;2117;FJ05A;FJ05AX;;;
W23;V;VARCOS A;A;L-MLCM-BULK;MO-L-MLCM-BULK/I0047;L-MLCM-OMG;L-MLCM-OMG/I0046;OMG Oh My Glam Matte Kiss Lip Cream 13 Latte;7.641;2161296;2269361;EJ29A;EJ29AX;;;
W23;V;VARCOS A;A;L-MLCM-BULK;MO-L-MLCM-BULK/I0048;L-MLCM-OMG;L-MLCM-OMG/I0047;OMG Oh My Glam Matte Kiss Lip Cream 13 Latte;9.373;2651184;2783744;FJ03A;FJ03AX;;;
W22;V;VARCOS A;A;L-MLCO-BULK;MO-L-MLCO-BULK/I0036;L-MLCO-OMG;L-MLCO-OMG/I0035;OMG Oh My Glam Matte Kiss Lip Cream 15 Espresso;8.216;2323872;2440066;EJ26A;EJ26AX;;;
W23;V;VARCOS A;A;L-MLCO-BULK;MO-L-MLCO-BULK/I0037;L-MLCO-OMG;L-MLCO-OMG/I0036;OMG Oh My Glam Matte Kiss Lip Cream 15 Espresso;6.805;1924704;2020940;FJ01A;FJ01AX;;;
W21;L;LIQUID C;C;MA-MSL-BULK;MO-MA-MSL-BULK/I0013;MA-MSLP-W;MA-MSLP-W/I0003;Wardah Lightening SuperSerum Mask;21;0;0;EJ22A;EJ22AX;;;
W21;V;VARCOS B;C;MASK-OMG-BULK;MO-MASK-OMG-BULK/I0005;MASK-OMG-OMG;MASK-OMG-OMG/I0005;OMG Oh My Glam Lashtention Waterproof Mascara;6.941;0;0;EJ22A;EJ22AX;;;
W22;V;VARCOS B;C;MASK-OMG-BULK;MO-MASK-OMG-BULK/I0006;MASK-OMG-OMG;MASK-OMG-OMG/I0006;OMG Oh My Glam Lashtention Waterproof Mascara;15.426;0;0;EJ27A;EJ27AX;;;
W15;L;LIQUID A;A;M-RHDG-BULK;MO-M-RHDG-BULK/I0013;M-RHDGN3-W;M-RHDGN3-W/I0001;Wardah Hydra Rose Dewy Aqua Day Gel;50;0;0;DJ01A;DJ01AX;;;
W22;L;LIQUID A;A;M-RHDG-BULK;MO-M-RHDG-BULK/I0019;M-RHDGN3-W;M-RHDGN3-W/I0003;Wardah Hydra Rose Dewy Aqua Day Gel;79.5;0;0;EJ26A;EJ26AX;;;
W22;L;LIQUID B;B;REM-CO-BULK;MO-REM-CO-BULK/I0002;REM-CO-MO;REM-CO-MO/I0002;MAKE OVER Powerskin Ultra Deep Cleansing Oil;32.25;644;677;EJ31A;EJ31AX;;;
W15;L;LIQUID A;A;SS-SB50-BULK;MO-SS-SB50-BULK/I0002;SS-SB50-EM;SS-SB50-EM/I0002;EMINA Sun Battle SPF 50 PA++++ Barrier Hydraburst Sunscreen;19;0;0;DJ11A;DJ11AX;;;
W23;S;JAR LINE - SEMISOLID;C;SS-UVSLMS-BULK;MO-SS-UVSLMS-BULK/I0018;SS-UVSLMS-W;SS-UVSLMS-W/I0005;Wardah UV Shield Light Matte Sun Stick SPF 50;6.65;288;308;FJ03A;FJ03AX;;;
W29;P;POWDER A;A;TC-IPMFPF11-BULK;MO-TC-IPMFPF11-BULK/H0017;TC-IPMFPF11-W13G;TC-IPMFPF11-W13G/H0008;Instaperfect MATTE FIT Powder Foundation 11 Fair;5.461;384;404;GI21B;GI21BX;;;
W29;P;POWDER A;A;TC-IPMFPF12-BULK;MO-TC-IPMFPF12-BULK/H0020;TC-IPMFPF12-W13G;TC-IPMFPF12-W13G/H0014;Instaperfect MATTE FIT Powder Foundation 12 Ivory;7.604;576;596;GI21A;GI21AX;;;
W45;P;POWDER A;A;TC-IPMFPF13-BULK;MO-TC-IPMFPF13-BULK/H0014;TC-IPMFPF13-W13G;TC-IPMFPF13-W13G/H0008;Instaperfect MATTE FIT Powder Foundation 13 Beige;19.347;1440;1460;GI23A;GI23AX;;;
W50;P;POWDER A;A;TC-PC01-BULK;MO-TC-PC01-BULK/H0059;TC-PC01-MO12G;TC-PC01-MO12G/H0024;PERFECT COVER TWC 01 LACE;2.243;408;428;LI10A;LI10AX;;;
W23;P;POWDER A;A;TC-PC03-BULK;MO-TC-PC03-BULK/I0083;TC-R2E03-W;TC-R2E03-W/I0015;PERFECT COVER TWC 03 MAPLE;6.851;540;560;FJ07A;FJ07AX;;;
W16;P;POWDER A;A;TC-PMN10-BULK;MO-TC-PMN10-BULK/I0017;TC-PMN10-MO12G;TC-PMN10-MO12G/I0017;Make Over Powerstay Matte Powder Foundation N10 Marble;7.68;624;644;DJ16A;DJ16AX;;;
W17;P;POWDER A;A;TC-PMW30-BULK;MO-TC-PMW30-BULK/I0013;TC-PMW30-MO;TC-PMW30-MO/I0013;Powerstay Matte Powder Foundation W30 Creme Beige;4.013;312;332;DJ27A;DJ27AX;;;
W18;P;POWDER A;A;TC-PMW41-BULK;MO-TC-PMW41-BULK/I0019;TC-PMW41-MO12G;TC-PMW41-MO12G/I0019;Make Over Powerstay Matte Powder Foundation W41 Coral Sand;5.346;432;452;EJ05A;EJ05AX;;;
W21;P;POWDER A;A;TC-R3LLF03-BULK;MO-TC-R3LLF03-BULK/I0057;TC-RR3LLF03-W;TC-RR3LLF03-W/I0024;Wardah Lightening Powder Foundation Light Feel 03 Sheer Pink;5.161;288;308;EJ20A;EJ20AX;;;
W22;P;POWDER A;A;TC-R3LLF03-BULK;MO-TC-R3LLF03-BULK/I0060;TC-RR3LLF03-W;TC-RR3LLF03-W/I0025;Wardah Lightening Powder Foundation Light Feel 03 Sheer Pink;10.055;720;740;EJ30A;EJ30AX;;;
W23;P;POWDER A;A;TC-R3LLF03-BULK;MO-TC-R3LLF03-BULK/I0062;TC-R3LLF03-W;TC-R3LLF03-W/I0025;Wardah Lightening Powder Foundation Light Feel 03 Sheer Pink;4.03;324;344;FJ06A;FJ06AX;;;
W22;P;POWDER A;A;TC-W1C1-BULK;MO-TC-W1C1-BULK/I0029;TC-W3ELLB1-W12G;TC-W3ELLB1-W12G/I0013;Luminous Two Way Cake 01;5.362;432;452;EJ29A;EJ29AX;;;
W23;P;POWDER A;A;TC-W1C1-BULK;MO-TC-W1C1-BULK/I0031;TC-W3RELLB1-W12G;TC-W3RELLB1-W12G/I0018;Luminous Two Way Cake 01;5.581;432;452;FJ06A;FJ06AX;;;
